ADDRESS,STREET_NAME,POSTCODE,SALE_PRICE,HOUSE_TYPE,FREEHOLD/LEASEHOLD,RES_NEW/OLD,SALE_DATE,BEDROOMS,STATIONDIST_MILES
Flat 18 Riverstone Court, Queen Elizabeth Road ,KT2 6SS,271000,Flat, Leasehold, Residential,01-Nov-14,2,0.3
109b Richmond Road, ,KT2 5BX,265000,Flat, Leasehold, Residential,01-Nov-14,1,0.4
Flat 4 Buick House,144 London Road,KT2 6QS,332500,Flat, Leasehold, Residential,01-Nov-14,,
Flat 52 Brae Court, Kingston Hill ,KT2 7QH,305000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 9117, Henry Macaulay Avenue ,KT2 5FG,720000,Flat, Leasehold, Residential (New Build),01-Nov-14,,
Flat 8 Liddesdale House East, Galsworthy Road ,KT2 7BS,227500,Flat, Leasehold, Residential,01-Nov-14,,
220 Park Road, ,KT2 5LS,345000,Flat, Leasehold, Residential,01-Nov-14,2,1
Flat 329, Kingston Hill ,KT2 7PW,485000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 23 Kew Court, Richmond Road ,KT2 5BF,370000,Flat, Leasehold, Residential,01-Nov-14,2,0.2
Flat 7 Hambledon House, Kingsnympton Park ,KT2 7RZ,230000,Flat, Leasehold, Residential,01-Nov-14,2,0.8
Flat 64 Norbiton Hall, Birkenhead Avenue ,KT2 6RR,310000,Flat, Leasehold, Residential,01-Nov-14,2,0.3
Flat 13 Dean Court,10 Queens Road,KT2 7SD,352500,Flat, Leasehold, Residential,01-Nov-14,,
Flat 6 Coombe Lodge,6 Manorgate Road,KT2 7AL,390000,Flat, Leasehold, Residential,01-Nov-14,,
1 Hill Court, Deer Park Close ,KT2 7TN,375000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 7 27a, Old London Road ,KT2 6ND,450000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 35 Buick House,144 London Road,KT2 6QS,325000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 10 Fairview Court, Galsworthy Road ,KT2 7LE,175000,Flat, Leasehold, Residential,01-Nov-14,1,0.3
Flat 7 27a, Old London Road ,KT2 6ND,450000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 35 Buick House,144 London Road,KT2 6QS,325000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 38 Trafalgar Building,15 Henry Macaulay Avenue,KT2 5FE,355000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 10 Fairview Court, Galsworthy Road ,KT2 7LE,175000,Flat, Leasehold, Residential,01-Nov-14,1,
Flat 27, Birkenhead Avenue ,KT2 6RW,360000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 113 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,1475000,Flat, Leasehold, Residential (New Build),01-Nov-14,,
Flat 36 42a, Albany Park Road ,KT2 5SY,350000,Flat, Leasehold, Residential,01-Nov-14,,
14 Latchmere Lane, ,KT2 5SG,339950,Flat, Leasehold, Residential,01-Nov-14,2,0.9
Flat 2 Kingswood House, Kingsnympton Park ,KT2 7SA,234000,Flat, Leasehold, Residential,01-Oct-14,2,0.8
Flat 10 Milton House, Kingsnympton Park ,KT2 7TL,250000,Flat, Leasehold, Residential,01-Oct-14,2,0.8
16 Park Close, ,KT2 6DW,330000,Flat, Leasehold, Residential,01-Oct-14,2,0.3
Flat 10 Milton House, Kingsnympton Park ,KT2 7TL,250000,Flat, Leasehold, Residential,01-Oct-14,2,0.8
16 Park Close, ,KT2 6DW,330000,Flat, Leasehold, Residential,01-Oct-14,2,0.3
Flat 17, Skerne Road ,KT2 5FL,425000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 2 Kingswood House, Kingsnympton Park ,KT2 7SA,234000,Flat, Leasehold, Residential,01-Oct-14,2,0.8
Flat 27, Skerne Road ,KT2 5FL,280000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 15, Skerne Road ,KT2 5FP,410000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 38 Canbury Court, Lower Ham Road ,KT2 5AY,272500,Flat, Leasehold, Residential,01-Oct-14,1,0.4
Flat 37, Skerne Road ,KT2 5FL,285000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 6 27a, Old London Road ,KT2 6ND,425000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 6 Dean Court,10 Queens Road,KT2 7SD,370000,Flat, Leasehold, Residential,01-Oct-14,,
48 Kelvedon Close, ,KT2 5LG,420000,Flat, Leasehold, Residential,01-Oct-14,2,0.7
Flat 9 27a, Old London Road ,KT2 6ND,425000,Flat, Leasehold, Residential,01-Oct-14,,
7 Wilmer Close, ,KT2 5LX,325000,Flat, Leasehold, Residential,01-Oct-14,2,1.1
Flat 27 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,595000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 2 Liddesdale House East, Galsworthy Road ,KT2 7BS,200000,Flat, Leasehold, Residential,01-Oct-14,1,0.2
Flat 65, Skerne Road ,KT2 5FP,385000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 135, Skerne Road ,KT2 5FP,305000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 155, Skerne Road ,KT2 5FP,460750,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 75, Skerne Road ,KT2 5FP,295000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 115, Skerne Road ,KT2 5FP,285000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 95, Skerne Road ,KT2 5FP,385000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 85, Skerne Road ,KT2 5FP,290000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 165, Skerne Road ,KT2 5FP,335000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 215, Skerne Road ,KT2 5FP,345000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 1 27a, Old London Road ,KT2 6ND,530000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 2932, Richmond Road ,KT2 5ED,280500,Flat, Leasehold, Residential,01-Oct-14,,
Flat 185, Skerne Road ,KT2 5FP,480000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 195, Skerne Road ,KT2 5FP,475000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 175, Skerne Road ,KT2 5FP,360000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 225, Skerne Road ,KT2 5FP,530000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 21 42a, Albany Park Road ,KT2 5SY,350000,Flat, Leasehold, Residential,01-Oct-14,,
6 New Road, ,KT2 6AP,322000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 15 Badminton, Galsworthy Road ,KT2 7BU,340000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 283, Skerne Road ,KT2 5FJ,565000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 57, Brunswick Road ,KT2 6SB,275000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 7 Richmond Court,2 Queens Road,KT2 7ST,420000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 76 Lakeside,82 Eaton Drive,KT2 7RA,345000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 10 Coombe House, Devey Close ,KT2 7DT,680000,Flat, Leasehold, Residential,01-Oct-14,3,0.9
122b Canbury Park Road, ,KT2 6JZ,365000,Flat, Leasehold, Residential,01-Oct-14,1,0.2
143a Richmond Road, ,KT2 5BZ,226000,Flat, Freehold, Residential,01-Oct-14,0,0.4
3 Kings Court, Deer Park Close ,KT2 7RJ,375000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 4 Clandon House, Kingsnympton Park ,KT2 7RS,190000,Flat, Leasehold, Residential,01-Oct-14,3,0.7
Flat 143, Skerne Road ,KT2 5FJ,455000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 66 Dartmouth House, Royal Quarter ,KT2 5BJ,495000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 113, Skerne Road ,KT2 5FJ,450000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
195b Park Road, ,KT2 5JY,350000,Flat, Freehold, Residential,01-Oct-14,3,0.6
Flat 10 Kings Penny House, Richmond Road ,KT2 5DZ,435000,Flat, Leasehold, Residential,01-Oct-14,2,0.4
Flat 53, Skerne Road ,KT2 5FJ,440000,Flat, Leasehold, Residential (New Build),01-Oct-14,,
Flat 1084, London Road ,KT2 6PX,285000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 42 Elizabeth Court, Lower Kings Road ,KT2 5HP,410000,Flat, Leasehold, Residential,01-Sep-14,2,0.3
Flat 729, Alexandra Road ,KT2 6SD,350000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 15 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,700000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 30 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,980000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 23, Skerne Road ,KT2 5FJ,460000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 43, Skerne Road ,KT2 5FJ,300000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 90 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,795000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 33, Skerne Road ,KT2 5FJ,480000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 1198, Canbury Park Road ,KT2 6FZ,355000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 1 Liddesdale House East, Galsworthy Road ,KT2 7BS,232500,Flat, Leasehold, Residential,01-Sep-14,,
Flat 16 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,555000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 118 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,2900000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 83, Skerne Road ,KT2 5FJ,460000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 63, Skerne Road ,KT2 5FJ,285000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 363, Skerne Road ,KT2 5FJ,565000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 103, Skerne Road ,KT2 5FJ,300000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 123, Skerne Road ,KT2 5FJ,305000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 153, Skerne Road ,KT2 5FJ,305000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 163, Skerne Road ,KT2 5FJ,530000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 153, Skerne Road ,KT2 5FJ,305000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 163, Skerne Road ,KT2 5FJ,530000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 303, Skerne Road ,KT2 5FJ,325000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 323, Skerne Road ,KT2 5FJ,545000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 333, Skerne Road ,KT2 5FJ,435000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 273, Skerne Road ,KT2 5FJ,440000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 353, Skerne Road ,KT2 5FJ,460000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 3 Brunswick Court, Albany Park Road ,KT2 5SR,525000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 7 Liddesdale House East, Galsworthy Road ,KT2 7BS,207500,Flat, Leasehold, Residential,01-Sep-14,,
109c Richmond Road, ,KT2 5BX,355000,Flat, Leasehold, Residential,01-Sep-14,2,0.4
Flat 233, Skerne Road ,KT2 5FJ,320000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
33 Jemmett Close, ,KT2 7AJ,225000,Flat, Leasehold, Residential,01-Sep-14,1,0.1
Flat 213, Skerne Road ,KT2 5FJ,310000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 223, Skerne Road ,KT2 5FJ,460000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 243, Skerne Road ,KT2 5FJ,530000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 293, Skerne Road ,KT2 5FJ,355000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 2 Dartmouth House, Royal Quarter ,KT2 5BJ,330000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 44 Dartmouth House, Royal Quarter ,KT2 5BJ,410000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 83 Trafalgar Building,15 Henry Macaulay Avenue,KT2 5FE,575000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 133, Skerne Road ,KT2 5FJ,310000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 343, Skerne Road ,KT2 5FJ,310000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 12 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,455000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 8 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,400000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 24 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,490000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 11 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,415000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 21 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,750000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 22 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,557750,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 17 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,520000,Flat, Leasehold, Residential (New Build),01-Sep-14,,
Flat 5211, Richmond Road ,KT2 5DD,200000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 6 The Clone, Kingston Hill ,KT2 7JG,263000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 86 Lakeside,82 Eaton Drive,KT2 7RA,315000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 24 Queens Court, New Road ,KT2 6SQ,385000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 3 Aldous Court, 1 - 3 Clifton Road,KT2 6PH,230000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 14 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,700000,Flat, Leasehold, Residential (New Build),01-Aug-14,,
256 Tudor Drive, ,KT2 5QJ,329950,Flat, Leasehold, Residential,01-Aug-14,2,0.9
Flat 148 Norbiton Hall, Birkenhead Avenue ,KT2 6RT,379999,Flat, Leasehold, Residential,01-Aug-14,2,0.4
Flat 7 James House, 72a Richmond Road,KT2 5EL,275000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 60 Brae Court, Kingston Hill ,KT2 7QH,295000,Flat, Leasehold, Residential,01-Aug-14,2,0.2
Flat 102 Lakeside,82 Eaton Drive,KT2 7RA,379000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 22 Buick House,144 London Road,KT2 6QS,274950,Flat, Leasehold, Residential,01-Aug-14,,
Flat 66 Brae Court, Kingston Hill ,KT2 7QH,300000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 37 Buick House,144 London Road,KT2 6QS,340000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 16 High Ashton,119 Kingston Hill,KT2 7QL,322000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 13 Buick House,144 London Road,KT2 6QS,369950,Flat, Leasehold, Residential,01-Aug-14,,
Flat 202, Down Hall Road ,KT2 5FH,550000,Flat, Leasehold, Residential (New Build),01-Aug-14,,
Flat 90 Cumberland House, Kingston Hill ,KT2 7LL,277500,Flat, Leasehold, Residential,01-Aug-14,2,0.6
Flat 6 Coombe House, Devey Close ,KT2 7DT,499999,Flat, Leasehold, Residential,01-Aug-14,2,0.9
Flat 28 The Watergardens, Warren Road ,KT2 7LF,1250000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 10 Bramber House, Royal Quarter ,KT2 5BU,405040,Flat, Leasehold, Residential,01-Aug-14,,
Flat 686, London Road ,KT2 6PX,370000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 10 Bramber House, Royal Quarter ,KT2 5BU,405040,Flat, Leasehold, Residential,01-Aug-14,,
Flat 686, London Road ,KT2 6PX,370000,Flat, Leasehold, Residential,01-Aug-14,,
38 Kelvedon Close, ,KT2 5LG,479270,Flat, Leasehold, Residential,01-Aug-14,,
15 Jemmett Close, ,KT2 7AJ,290000,Flat, Leasehold, Residential,01-Aug-14,2,0.1
Flat 9 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,389000,Flat, Leasehold, Residential (New Build),01-Aug-14,,
Flat 17 Regents Court, Sopwith Way ,KT2 5AG,376000,Flat, Leasehold, Residential,01-Aug-14,2,0
Flat 3 Braywick Court, Queens Road ,KT2 7SQ,374000,Flat, Leasehold, Residential,01-Aug-14,2,0.3
243 Tudor Drive, ,KT2 5PF,319950,Flat, Leasehold, Residential,01-Aug-14,2,1
18 Hillside Court, Crescent Road ,KT2 7RH,365000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 152, Down Hall Road ,KT2 5FH,455000,Flat, Leasehold, Residential (New Build),01-Aug-14,,
Flat 5 Trafalgar Building,15 Henry Macaulay Avenue,KT2 5FE,525000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 18 Brae Court, Kingston Hill ,KT2 7QQ,265000,Flat, Leasehold, Residential,01-Jul-14,2,0.2
Flat 88 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,550000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 9 Brae Court, Kingston Hill ,KT2 7QQ,240000,Flat, Leasehold, Residential,01-Jul-14,1,0.2
Flat 114 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,1281250,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 62, Down Hall Road ,KT2 5FH,430000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 72, Down Hall Road ,KT2 5FH,395000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 92, Down Hall Road ,KT2 5FH,495000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 66 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,285000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 102, Down Hall Road ,KT2 5FH,240000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 142, Down Hall Road ,KT2 5FH,245000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 82, Down Hall Road ,KT2 5FH,435000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 93 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,325000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 172, Down Hall Road ,KT2 5FH,500000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 167 Norbiton Hall, Birkenhead Avenue ,KT2 6RU,309950,Flat, Leasehold, Residential,01-Jul-14,1,0.4
Flat 167 Norbiton Hall, Birkenhead Avenue ,KT2 6RU,309950,Flat, Leasehold, Residential,01-Jul-14,1,
Flat 58 Trafalgar Building,15 Henry Macaulay Avenue,KT2 5FE,535000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 36 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,299000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 32, Down Hall Road ,KT2 5FH,390000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 65 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,320000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 23 Riverstone Court, Queen Elizabeth Road ,KT2 6SS,183000,Flat, Leasehold, Residential,01-Jul-14,1,0.3
Flat 122, Down Hall Road ,KT2 5FH,490000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 182, Down Hall Road ,KT2 5FH,250000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 192, Down Hall Road ,KT2 5FH,460000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 107 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,690000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 76 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,325000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 80 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,595000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 89 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,860000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 52, Down Hall Road ,KT2 5FH,375000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 99 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,1000000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 30 Garland House, Royal Quarter ,KT2 5AF,400000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 96 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,880000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 63 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,305000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 11 Buick House,144 London Road,KT2 6QS,285000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 46 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,275000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 35 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,325000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 9 The Watergardens, Warren Road ,KT2 7LF,1500000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 3 Liddesdale House East, Galsworthy Road ,KT2 7BS,195000,Flat, Leasehold, Residential,01-Jul-14,,
First And Second Floor Flat58, Gibbon Road ,KT2 6AB,499950,Flat, Leasehold, Residential,01-Jul-14,3,0.3
Flat 74 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,520000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 97 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,1440000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 39, Kingston Hill ,KT2 7PW,245000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 92 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,340000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 71 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,770000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 108 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,1310000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 71 Brae Court, Kingston Hill ,KT2 7QH,341751,Flat, Leasehold, Residential,01-Jul-14,,
Flat 36 Trafalgar Building,15 Henry Macaulay Avenue,KT2 5FE,440000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 11177, London Road ,KT2 6PA,350000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 31 High Ashton,119 Kingston Hill,KT2 7QL,330000,Flat, Leasehold, Residential,01-Jul-14,,
35 Lancaster Close, ,KT2 5NJ,340000,Flat, Leasehold, Residential,01-Jul-14,2,1
Flat 104 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FG,1490000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 29 Brae Court, Kingston Hill ,KT2 7QQ,395000,Flat, Leasehold, Residential,01-Jul-14,4,0.2
Flat 43 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,449500,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 1 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,293000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 79 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,770000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 90 Trafalgar Building,15 Henry Macaulay Avenue,KT2 5FE,742500,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 85 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,310000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 43 Garland House, Royal Quarter ,KT2 5AF,385000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 30 Brunswick Court, Albany Park Road ,KT2 5SR,1150000,Flat, Leasehold, Residential,01-Jul-14,3,0.6
Flat 39 High Ashton,119 Kingston Hill,KT2 7QL,300000,Flat, Leasehold, Residential,01-Jul-14,,
First Floor Flat5, Birkenhead Avenue ,KT2 6RW,365000,Flat, Leasehold, Residential,01-Jul-14,,
Flat 70 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,560000,Flat, Leasehold, Residential (New Build),01-Jul-14,,
Flat 82 Admiralty Building,17 Henry Macaulay Avenue,KT2 5FF,310400,Flat, Leasehold, Residential (New Build),01-Jun-14,,
341 Park Road, ,KT2 5LY,279950,Flat, Leasehold, Residential,01-Jun-14,2,1
Flat 88 Trafalgar Building,15 Henry Macaulay Avenue,KT2 5FE,700000,Flat, Leasehold, Residential (New Build),01-Jun-14,,
1 Springfield Road, ,KT1 2SA,670000,Semi-Detached, Freehold, Residential,01-Dec-18,3,0.6
33 Dagmar Road, ,KT2 6DP,635000,Semi-Detached, Freehold, Residential,01-Dec-18,4,0.4
18 Herbert Road, ,KT1 2SP,614000,Semi-Detached, Freehold, Residential,01-Dec-18,3,0.6
209 Kings Road, ,KT2 5JH,666000,Semi-Detached, Freehold, Residential,01-Dec-18,3,0.6
3b Glamorgan Road, ,KT1 4HS,1125000,Semi-Detached, Freehold, Residential,01-Dec-18,3,0.3
25 Villiers Close, Surbiton,KT5 8DL,525000,Semi-Detached, Freehold, Residential,01-Dec-18,3,0.5
20 Liverpool Road, ,KT2 7SZ,2575000,Semi-Detached, Freehold, Residential,01-Nov-18,6,0.5
332 Richmond Road, ,KT2 5PP,770000,Semi-Detached, Freehold, Residential,01-Nov-18,3,0.9
15 South Lane, ,KT1 2NJ,613500,Semi-Detached, Freehold, Residential,01-Nov-18,2,0.5
65 Cambridge Road, ,KT1 3NX,480000,Semi-Detached, Freehold, Residential,01-Nov-18,,
17 Douglas Road, ,KT1 3PX,490000,Semi-Detached, Freehold, Residential,01-Nov-18,3,0.3
1 Rosebery Road, ,KT1 3LJ,525000,Semi-Detached, Freehold, Residential,01-Nov-18,3,0.3
141 Latchmere Lane, ,KT2 5NX,740000,Semi-Detached, Freehold, Residential,01-Nov-18,4,1
53 Park Road, Hampton Wick ,KT1 4AS,650000,Semi-Detached, Freehold, Residential,01-Nov-18,2,0.1
71 Villiers Road, ,KT1 3AY,510000,Semi-Detached, Freehold, Residential,01-Nov-18,3,0.7
46 Borough Road, ,KT2 6BD,1125000,Semi-Detached, Freehold, Residential,01-Nov-18,4,0.3
135 Canbury Park Road, ,KT2 6LH,642500,Semi-Detached, Freehold, Residential,01-Nov-18,2,0.4
29 New Road, ,KT2 6AP,627500,Semi-Detached, Freehold, Residential,01-Oct-18,3,0.5
63 Gibbon Road, ,KT2 6AD,1150000,Semi-Detached, Freehold, Residential,01-Oct-18,5,0.3
24 Grove Lane, ,KT1 2ST,1240000,Semi-Detached, Freehold, Residential,01-Oct-18,5,0.7
